date,value
2016-04-23,10.16
2016-04-24,10.16
2016-04-25,9.53
2016-04-26,9.53
2016-04-27,9.77
2016-04-28,9.87
2016-04-29,9.85
2016-04-30,9.64
2016-05-01,10.18
2016-05-02,9.76
2016-05-03,9.76
2016-05-04,9.71
2016-05-05,9.09
2016-05-06,9.85
2016-05-07,9.70
2016-05-08,11.59
2016-05-09,10.31
2016-05-10,9.66
2016-05-11,9.65
2016-05-12,9.31
2016-05-13,9.73
2016-05-15,10.00
2016-05-16,9.75
2016-05-17,9.10
2016-05-18,9.40
2016-05-19,9.03
2016-05-20,8.86
2016-05-21,9.05
2016-05-22,8.98
2016-05-23,8.65
2016-05-24,8.66
2016-05-25,8.52
2016-05-26,8.53
2016-05-27,8.33
2016-05-28,8.61
2016-05-29,8.61
2016-05-30,8.28
2016-05-31,8.22
2016-06-01,8.03
2016-06-02,6.78
2016-06-03,8.35
2016-06-04,8.16
2016-06-06,8.77
2016-06-07,8.60
2016-06-08,8.58
2016-06-09,8.61
2016-06-10,8.65
2016-06-11,9.19
2016-06-12,9.19
2016-06-13,8.41
2016-06-14,8.54
2016-06-15,8.40
2016-06-16,8.77
2016-06-17,8.69
2016-06-18,8.52
2016-06-19,8.84
2016-06-20,8.80
2016-06-21,8.71
2016-06-22,9.14
2016-06-23,9.10
2016-06-24,8.88
2016-06-25,9.51
2016-06-26,9.56
2016-06-27,9.51
2016-06-28,9.72
2016-06-29,9.98
2016-06-30,9.78
2016-07-01,9.81
2016-07-02,9.82
2016-07-03,10.19
2016-07-04,9.52
2016-07-05,11.10
2016-07-06,10.07
2016-07-07,9.68
2016-07-08,9.56
2016-07-09,10.08
2016-07-10,9.98
2016-07-11,11.26
2016-07-12,14.33
2016-07-13,14.83
2016-07-14,12.67
2016-07-15,11.81
2016-07-16,11.47
2016-07-17,11.96
2016-07-18,11.35
2016-07-19,11.47
2016-07-20,11.18
2016-07-21,11.26
2016-07-22,10.72
2016-07-23,11.52
2016-07-24,11.52
2016-07-25,10.51
2016-07-26,10.31
2016-07-27,10.43
2016-07-28,10.39
2016-07-29,10.09
2016-07-30,10.15
2016-07-31,10.62
2016-08-01,10.38
2016-08-02,10.30
2016-08-03,10.02
2016-08-04,10.03
2016-08-05,9.43
2016-08-06,9.55
2016-08-07,9.79
2016-08-08,9.70
2016-08-09,9.33
2016-08-10,9.33
2016-08-11,9.00
2016-08-12,8.88
2016-08-13,8.51
2016-08-14,8.06
2016-08-16,8.25
2016-08-17,8.17
2016-08-18,7.81
2016-08-19,7.83
2016-08-20,7.56
2016-08-21,7.63
2016-08-22,7.26
2016-08-23,6.98
2016-08-24,7.14
2016-08-25,7.06
2016-08-26,6.38
2016-08-27,6.15
2016-08-28,6.15
2016-08-29,6.22
2016-08-30,6.34
2016-08-31,6.01
2016-09-01,5.61
2016-09-02,5.62
2016-09-03,6.24
2016-09-04,6.49
2016-09-05,6.36
2016-09-06,5.91
2016-09-07,5.80
2016-09-08,5.88
2016-09-09,5.74
2016-09-10,5.87
2016-09-11,5.77
2016-09-12,5.52
2016-09-13,5.27
2016-09-14,5.51
2016-09-15,5.40
2016-09-16,5.57
2016-09-17,5.51
2016-09-18,5.70
2016-09-19,5.53
2016-09-20,5.53
2016-09-21,5.72
2016-09-22,5.34
2016-09-23,5.41
2016-09-24,5.16
2016-09-25,5.12
2016-09-26,5.40
2016-09-27,5.09
2016-09-28,5.21
2016-09-29,5.32
2016-09-30,5.36
2016-10-01,5.30
2016-10-02,5.08
2016-10-03,5.31
2016-10-04,5.28
2016-10-05,5.41
2016-10-06,5.19
2016-10-07,5.64
2016-10-08,5.53
2016-10-09,5.53
2016-10-10,5.31
2016-10-11,5.48
2016-10-12,5.48
2016-10-13,6.00
2016-10-14,6.14
2016-10-15,6.17
2016-10-16,6.26
2016-10-17,6.50
2016-10-18,6.40
2016-10-19,6.29
2016-10-20,5.83
2016-10-21,6.10
2016-10-22,5.78
2016-10-23,5.78
2016-10-24,6.05
2016-10-25,5.63
2016-10-26,5.78
2016-10-27,5.87
2016-10-28,5.62
2016-10-29,5.92
2016-10-30,6.06
2016-10-31,5.76
2016-11-01,5.76
2016-11-02,5.82
2016-11-03,6.48
2016-11-04,6.47
2016-11-05,6.48
2016-11-06,6.31
2016-11-07,6.98
2016-11-08,6.94
2016-11-09,7.16
2016-11-10,7.33
2016-11-11,7.46
2016-11-12,7.44
2016-11-13,7.28
2016-11-14,7.28
2016-11-15,7.43
2016-11-16,7.97
2016-11-17,9.67
2016-11-18,9.56
2016-11-19,9.35
2016-11-20,10.30
2016-11-21,9.35
2016-11-22,9.56
2016-11-23,9.47
2016-11-24,9.40
2016-11-25,9.93
2016-11-26,10.62
2016-11-27,10.62
2016-11-28,10.11
2016-11-29,9.92
2016-11-30,10.00
2016-12-01,9.52
2016-12-02,9.17
2016-12-03,9.06
2016-12-04,9.43
2016-12-05,8.87
2016-12-06,8.99
2016-12-07,9.20
2016-12-08,8.35
2016-12-09,8.63
2016-12-10,8.59
2016-12-11,8.59
2016-12-12,8.98
2016-12-13,8.66
2016-12-14,8.53
2016-12-15,8.83
2016-12-16,7.82
2016-12-17,8.40
2016-12-18,8.45
2016-12-19,8.07
2016-12-20,8.11
2016-12-21,8.00
2016-12-22,7.92
2016-12-23,7.57
2016-12-24,7.17
2016-12-25,7.24
2016-12-26,7.24
2016-12-27,7.47
2016-12-28,7.45
2016-12-29,7.16
2016-12-30,7.48
2016-12-31,7.20
2017-01-01,7.36
2017-01-02,6.70
2017-01-03,7.07
2017-01-04,7.43
2017-01-05,6.93
2017-01-06,7.39
2017-01-07,7.04
2017-01-08,7.17
2017-01-09,7.13
2017-01-10,6.89
2017-01-11,7.30
2017-01-12,7.02
2017-01-13,7.31
2017-01-14,6.89
2017-01-15,6.54
2017-01-16,6.88
2017-01-17,6.79
2017-01-18,6.69
2017-01-19,6.31
2017-01-20,6.44
2017-01-21,6.32
2017-01-22,6.51
2017-01-23,6.46
2017-01-24,6.63
2017-01-25,6.75
2017-01-26,6.78
2017-01-27,7.22
2017-01-28,7.18
2017-01-29,7.17
2017-01-30,7.31
2017-01-31,7.25
2017-02-01,7.27
2017-02-02,7.39
2017-02-03,6.93
2017-02-04,6.93
2017-02-05,6.52
2017-02-06,6.77
2017-02-07,6.45
2017-02-08,6.55
2017-02-09,6.42
2017-02-10,6.42
2017-02-11,6.31
2017-02-12,6.25
2017-02-13,6.45
2017-02-14,6.39
2017-02-15,6.47
2017-02-16,6.63
2017-02-17,6.58
2017-02-18,7.20
2017-02-19,6.69
2017-02-20,6.89
2017-02-21,7.02
2017-02-22,6.83
2017-02-23,6.95
2017-02-24,7.11
2017-02-25,7.11
2017-02-26,7.11
2017-02-27,6.97
2017-02-28,6.64
2017-03-01,6.93
2017-03-02,6.68
2017-03-03,6.75
2017-03-04,6.50
2017-03-05,6.26
2017-03-06,6.32
2017-03-07,6.42
2017-03-08,6.46
2017-03-09,6.51
2017-03-10,6.44
2017-03-11,6.62
2017-03-12,6.35
2017-03-13,6.35
2017-03-14,6.57
2017-03-15,6.61
2017-03-16,6.28
2017-03-17,6.36
2017-03-18,6.36
2017-03-19,6.39
2017-03-20,6.69
2017-03-21,6.73
2017-03-22,6.84
2017-03-23,6.86
2017-03-24,6.86
2017-03-25,7.22
2017-03-26,7.22
2017-03-27,6.84
2017-03-28,7.01
2017-03-29,6.76
2017-03-30,7.38
2017-03-31,7.36
2017-04-01,6.66
2017-04-02,6.89
2017-04-03,7.33
2017-04-04,7.44
2017-04-05,7.23
2017-04-06,7.30
2017-04-07,7.16
2017-04-08,8.07
2017-04-09,8.07
2017-04-10,7.73
2017-04-11,7.43
2017-04-12,7.71
2017-04-13,7.33
2017-04-14,7.50
2017-04-15,7.50
2017-04-16,7.83
2017-04-17,7.38
2017-04-18,7.50
2017-04-19,7.50
2017-04-20,7.46
2017-04-21,7.46
2017-04-22,7.94
2017-04-23,7.94
2017-04-24,7.20
2017-04-25,7.24
2017-04-26,7.11
2017-04-27,6.98
2017-04-28,6.98
2017-04-29,6.47
2017-04-30,6.63
2017-05-01,6.63
2017-05-02,6.43
2017-05-03,6.85
2017-05-04,6.60
2017-05-05,6.42
2017-05-06,6.54
2017-05-07,6.56
2017-05-08,6.17
2017-05-09,6.17
2017-05-11,6.37
2017-05-12,6.37
2017-05-13,6.19
2017-05-14,6.19
2017-05-15,6.08
2017-05-16,5.99
2017-05-17,6.16
2017-05-18,6.05
2017-05-19,6.05
2017-05-20,6.20
2017-05-21,5.79
2017-05-22,5.78
2017-05-23,5.59
2017-05-24,5.64
2017-05-25,5.74
2017-05-26,5.74
2017-05-27,5.57
2017-05-28,5.57
2017-05-29,5.80
2017-05-30,5.74
2017-05-31,5.70
2017-06-01,5.80
2017-06-02,6.72
2017-06-03,6.80
2017-06-04,6.23
2017-06-05,7.22
2017-06-06,6.97
2017-06-07,7.43
2017-06-08,6.93
2017-06-09,6.64
2017-06-10,6.12
2017-06-11,6.12
2017-06-12,6.74
2017-06-13,6.68
2017-06-14,6.80
2017-06-15,6.70
2017-06-16,6.49
2017-06-17,6.37
2017-06-18,6.16
2017-06-19,7.00
2017-06-20,6.91
2017-06-21,7.57
2017-06-22,6.92
2017-06-23,6.69
2017-06-24,6.53
2017-06-25,6.20
2017-06-26,6.53
2017-06-27,6.65
2017-06-28,6.11
2017-06-29,6.69
2017-06-30,6.44
2017-07-01,6.32
2017-07-02,6.09
2017-07-03,6.42
2017-07-04,6.46
2017-07-05,6.55
2017-07-06,6.80
2017-07-07,6.59
2017-07-08,6.79
2017-07-09,6.79
2017-07-10,6.58
2017-07-11,6.56
2017-07-12,6.25
2017-07-13,6.33
2017-07-14,6.72
2017-07-15,6.68
2017-07-16,6.49
2017-07-17,6.84
2017-07-18,6.80
2017-07-19,6.32
2017-07-20,6.70
2017-07-21,6.62
2017-07-22,6.49
2017-07-23,6.38
2017-07-24,6.54
2017-07-25,6.71
2017-07-26,6.75
2017-07-27,6.96
2017-07-28,7.95
2017-07-29,9.82
2017-07-30,8.82
2017-07-31,9.80
2017-08-01,10.66
2017-08-02,10.77
2017-08-03,11.83
2017-08-04,14.21
2017-08-05,17.25
2017-08-06,13.72
2017-08-07,17.42
2017-08-08,18.26
2017-08-09,15.67
2017-08-10,18.71
2017-08-11,18.75
2017-08-12,18.45
2017-08-13,18.45
2017-08-14,18.79
2017-08-15,18.33
2017-08-16,18.00
2017-08-17,17.17
2017-08-18,19.25
2017-08-19,18.92
2017-08-20,18.34
2017-08-21,18.96
2017-08-22,19.92
2017-08-23,19.63
2017-08-24,19.21
2017-08-25,17.11
2017-08-26,17.11
2017-08-27,17.11
2017-08-28,19.04
2017-08-29,16.92
2017-08-30,17.51
2017-08-31,16.68
2017-09-01,16.59
2017-09-02,14.95
2017-09-03,14.95
2017-09-04,16.21
2017-09-05,15.33
2017-09-06,16.38
2017-09-07,16.33
2017-09-08,14.96
2017-09-09,12.50
2017-09-10,12.50
2017-09-11,14.25
2017-09-12,13.25
2017-09-13,13.91
2017-09-14,13.54
2017-09-15,12.48
2017-09-16,11.96
2017-09-17,10.88
2017-09-18,12.07
2017-09-19,12.00
2017-09-20,11.79
2017-09-21,12.00
2017-09-22,12.42
2017-09-23,11.78
2017-09-24,11.78
2017-09-25,13.29
2017-09-26,12.79
2017-09-27,12.58
2017-09-28,12.67
2017-09-29,13.17
2017-09-30,12.55
2017-10-01,12.55
2017-10-02,12.44
2017-10-03,13.08
2017-10-04,13.21
2017-10-05,12.96
2017-10-06,14.04
2017-10-07,15.59
2017-10-08,14.28
2017-10-09,16.49
2017-10-10,17.93
2017-10-11,18.10
2017-10-12,19.56
2017-10-13,18.85
2017-10-14,16.75
2017-10-15,16.09
2017-10-16,18.35
2017-10-17,19.02
2017-10-18,19.15
2017-10-19,17.97
2017-10-20,17.97
2017-10-21,17.42
2017-10-22,17.42
2017-10-23,20.15
2017-10-24,24.88
2017-10-25,24.88
2017-10-26,24.63
2017-10-27,24.22
2017-10-28,22.56
2017-10-29,22.56
2017-10-30,24.04
2017-10-31,24.29
2017-11-01,24.96
2017-11-02,25.19
2017-11-03,25.54
2017-11-04,24.44
2017-11-05,25.22
2017-11-06,27.04
2017-11-07,27.50
2017-11-08,28.17
2017-11-09,27.17
2017-11-10,26.00
2017-11-11,24.44
2017-11-12,24.44
2017-11-13,24.67
2017-11-14,24.62
2017-11-15,24.50
2017-11-16,24.92
2017-11-17,27.04
2017-11-18,26.88
2017-11-19,24.84
2017-11-20,26.96
2017-11-21,26.96
2017-11-22,28.75
2017-11-23,28.25
2017-11-24,28.83
2017-11-25,27.00
2017-11-26,27.44
2017-11-27,30.33
2017-11-28,30.42
2017-11-29,32.25
2017-11-30,31.08
2017-12-01,30.33
2017-12-02,30.17
2017-12-03,28.22
2017-12-04,27.46
2017-12-05,26.25
2017-12-06,26.21
2017-12-07,28.46
2017-12-08,26.67
2017-12-09,25.17
2017-12-10,25.17
2017-12-11,28.58
2017-12-12,29.50
2017-12-13,29.17
2017-12-14,29.27
2017-12-15,29.23
2017-12-16,28.15
2017-12-17,24.53
2017-12-18,27.38
2017-12-19,27.21
2017-12-20,26.29
2017-12-21,26.85
2017-12-22,23.48
2017-12-23,22.31
2017-12-24,22.31
2017-12-25,21.64
2017-12-26,32.00
2017-12-27,24.50
2017-12-28,24.33
2017-12-29,24.08
2017-12-30,24.21
2017-12-31,21.28
2018-01-01,23.38
2018-01-02,23.58
2018-01-03,24.17
2018-01-04,24.17
2018-01-05,24.21
2018-01-06,25.08
2018-01-07,20.78
2018-01-08,24.92
2018-01-09,24.17
2018-01-10,23.67
2018-01-11,23.67
2018-01-12,23.33
2018-01-13,19.78
2018-01-14,20.00
2018-01-15,22.58
2018-01-16,21.96
2018-01-17,23.21
2018-01-18,23.75
2018-01-19,24.21
2018-01-20,24.38
2018-01-21,23.00
2018-01-22,24.17
2018-01-23,23.92
2018-01-24,23.54
2018-01-25,23.66
2018-01-26,22.28
2018-01-27,21.83
2018-01-28,21.11
2018-01-29,22.67
2018-01-30,20.33
2018-01-31,20.33
2018-02-01,19.08
2018-02-02,18.25
2018-02-03,16.17
2018-02-04,15.44
2018-02-05,15.67
2018-02-06,17.38
2018-02-07,18.79
2018-02-08,17.75
2018-02-09,16.75
2018-02-10,16.83
2018-02-11,16.83
2018-02-12,17.29
2018-02-13,16.78
2018-02-14,17.25
2018-02-15,16.75
2018-02-16,16.71
2018-02-17,16.71
2018-02-18,16.11
2018-02-19,16.33
2018-02-20,16.54
2018-02-21,15.88
2018-02-22,15.71
2018-02-23,14.71
2018-02-24,14.67
2018-02-25,14.17
2018-02-26,14.58
2018-02-27,13.63
2018-02-28,12.21
2018-03-01,12.08
